3K_DNA_IRIS_UNIQUE_ID;TYPE
IRIS-313-11059;aus
IRIS-313-11060;aus
IRIS-313-11061;aus
IRIS-313-11062;aro
IRIS-313-11063;aus
IRIS-313-11064;aus
IRIS-313-11065;aus
IRIS-313-11066;admix
IRIS-313-11067;aus
IRIS-313-11068;aro
IRIS-313-11069;aro
IRIS-313-11070;admix
IRIS-313-11071;indx
IRIS-313-11072;ind3
IRIS-313-11073;trop2
IRIS-313-11074;ind3
IRIS-313-11075;japx
IRIS-313-11076;ind3
IRIS-313-11077;trop2
IRIS-313-11078;indx
IRIS-313-11079;ind3
IRIS-313-11080;ind3
IRIS-313-11081;ind3
IRIS-313-11082;ind3
IRIS-313-11083;ind3
IRIS-313-11084;ind3
IRIS-313-11085;indx
IRIS-313-11086;ind3
IRIS-313-11087;ind3
IRIS-313-11088;ind3
IRIS-313-11089;ind3
IRIS-313-11090;ind3
IRIS-313-11091;indx
IRIS-313-11092;admix
IRIS-313-11093;trop2
IRIS-313-11094;trop2
IRIS-313-11095;ind3
IRIS-313-11096;ind3
IRIS-313-11097;indx
IRIS-313-11098;ind3
IRIS-313-11099;ind2
IRIS-313-11100;trop1
IRIS-313-11101;indx
IRIS-313-11102;trop1
IRIS-313-11103;trop1
IRIS-313-11104;trop1
IRIS-313-11105;trop1
IRIS-313-11106;trop1
IRIS-313-11107;trop1
IRIS-313-11108;ind3
IRIS-313-11109;trop1
IRIS-313-11110;ind2
IRIS-313-11111;aus
IRIS-313-11112;aus
IRIS-313-11113;ind2
IRIS-313-11114;ind2
IRIS-313-11115;ind2
IRIS-313-11116;aus
IRIS-313-11117;trop1
IRIS-313-11118;ind3
IRIS-313-11119;indx
IRIS-313-11120;ind2
IRIS-313-11121;trop1
IRIS-313-11122;ind1B
IRIS-313-11123;aus
IRIS-313-11124;admix
IRIS-313-11125;admix
IRIS-313-11126;indx
IRIS-313-11127;trop2
IRIS-313-11128;indx
IRIS-313-11129;indx
IRIS-313-11130;indx
IRIS-313-11131;indx
IRIS-313-11132;indx
IRIS-313-11133;ind3
IRIS-313-11134;indx
IRIS-313-11135;ind3
IRIS-313-11136;admix
IRIS-313-11137;indx
IRIS-313-11138;ind3
IRIS-313-11139;indx
IRIS-313-11140;ind3
IRIS-313-11141;indx
IRIS-313-11142;ind3
IRIS-313-11143;indx
IRIS-313-11144;indx
IRIS-313-11145;ind3
IRIS-313-11146;indx
IRIS-313-11147;indx
IRIS-313-11148;ind3
IRIS-313-11149;ind3
IRIS-313-11150;ind3
IRIS-313-11151;ind3
IRIS-313-11152;ind1A
IRIS-313-11153;temp
IRIS-313-11154;aus
IRIS-313-11155;temp
IRIS-313-11156;japx
IRIS-313-11157;ind1A
IRIS-313-11158;ind1A
IRIS-313-11159;trop1
IRIS-313-11160;ind3
IRIS-313-11161;trop1
IRIS-313-11162;ind1B
IRIS-313-11163;aus
IRIS-313-11164;aus
IRIS-313-11165;aus
IRIS-313-11166;aus
IRIS-313-11167;ind2
IRIS-313-11168;aus
IRIS-313-11169;aus
IRIS-313-11170;aus
IRIS-313-11171;aus
IRIS-313-11172;aus
IRIS-313-11173;aus
IRIS-313-11174;aus
IRIS-313-11175;aus
IRIS-313-11176;indx
IRIS-313-11177;indx
IRIS-313-11178;ind3
IRIS-313-11179;ind3
IRIS-313-11180;ind3
IRIS-313-11181;ind3
IRIS-313-11182;ind3
IRIS-313-11183;trop1
IRIS-313-11189;admix
IRIS-313-11191;aus
IRIS-313-11192;ind3
IRIS-313-11193;ind3
